query_id,query_text,type,subdomain,seed_id
q-000,feminist theory social work practice,phrase,social work theory,1
q-001,research paradigms in social work,phrase,methods,4
q-002,parenting behavior adolescent aggression,phrase,mental health,10
q-003,case management community care services,phrase,intervention/clinical,14
q-004,residential care home inspection standards,phrase,aging,19
q-005,single fathers social work practice,phrase,child welfare,22
q-006,group homes intellectual disability,phrase,disability,27
q-007,urbanization slums developing countries,phrase,poverty,40
q-008,social worker attitudes toward adoption,phrase,child welfare,48
q-009,participatory slum upgrading,phrase,community development,49
q-010,family preservation worker burnout,phrase,child welfare,51
q-011,cognitive interview child witnesses,phrase,child welfare,54
q-012,homeless shelter system reform,phrase,housing/homelessness,72
q-013,public welfare service delivery,phrase,policy,73
q-014,deception detection social workers,phrase,intervention/clinical,42046
q-015,welfare reform self-sufficiency recipients,phrase,poverty,76966
q-016,sex trafficking policies and services,phrase,criminal justice,39488
q-017,hospital discharge planning social work,phrase,health,30899
q-018,black families experiences child welfare system,phrase,child welfare,46094
q-019,housing as a basic human right,phrase,housing/homelessness,86540
q-020,support services for crime victims,phrase,criminal justice,73347
q-021,lgbt older adults social work practice,phrase,aging,98835
q-022,drama based methods social work education,phrase,social work education,126830
q-023,anti-racist social work education,phrase,social work education,100578
q-024,technology service delivery developmental disabilities,phrase,disability,108709
q-025,social work housing advocacy,phrase,housing/homelessness,68151
q-026,social security older women,phrase,aging,53048
q-027,doctoral student retention racial diversity,phrase,social work education,37079
q-028,critical reflection field placement,phrase,social work education,124324
q-029,recovery model service users,phrase,mental health,122453
q-030,spirituality in social work practice,phrase,intervention/clinical,72275
q-031,adolescent opioid misuse depression,phrase,substance use,94087
q-032,nonprofit leadership professionalization,phrase,policy,72811
q-033,prison labor exploitation,phrase,criminal justice,70134
q-034,women disability intersectionality,phrase,disability,59625
q-035,latina immigrants resilience strengths,phrase,immigration,62377
q-036,barbershops black men mental health,phrase,mental health,102534
q-037,crisis intervention aids patients,phrase,health,122165
q-038,health insurance cost sharing healthcare utilization,phrase,health,88109
q-039,lone mothers welfare workfare discourse,phrase,poverty,105069
q-040,lgbt patients primary health care experiences,phrase,health,98547
q-041,employment at will human service organizations,phrase,policy,33852
q-042,insider researcher social work qualitative,phrase,methods,22664
q-043,community organizing neighborhood empowerment outcomes,phrase,community practice,30380
q-044,hiv prevention african american adolescent girls,phrase,health,44306
q-045,self care social work students,phrase,intervention/clinical,68767
q-046,game based intervention dating violence,phrase,intervention/clinical,114932
q-047,global standards social work profession,phrase,policy,28828
q-048,solution-focused brief therapy evidence base,phrase,intervention/clinical,120
q-049,disability rights convention social work practice,phrase,disability,124
q-050,driving under the influence prevention,phrase,substance use,126
q-051,native american elderly support systems,phrase,aging,127
q-052,social network analysis community development,phrase,community practice,128
q-053,social assistance eligibility decision making,phrase,poverty,129
q-054,study abroad social work students competencies,phrase,social work education,131
q-055,recruiting african american research participants,phrase,methods,134
q-056,housing first homelessness social work,phrase,housing/homelessness,142
q-057,preventing alcohol-exposed pregnancies high-risk women,phrase,substance use,144
q-058,incarcerated mothers and their children,phrase,criminal justice,147
q-059,kinship care funding policy,phrase,child welfare,148
q-060,personalisation social care policy,phrase,aging,59642
q-061,neoliberalism social service spending cutbacks,phrase,policy,118053
q-062,indigenous women human trafficking,phrase,criminal justice,76187
q-063,high school dropout risk factors,phrase,school social work,122279
