seed_id,query
1,how postmodern feminist thought reshapes social work theory and practice
3,reframing forced therapy endings as opportunities for client growth
4,heuristic research paradigm as alternative to positivism for practitioners
9,effects of land reform legislation on agricultural land use and urbanization
10,adolescents perceptions of parenting styles linked to frustration and aggression
11,principles of care for homeless people with co-occurring mental illness and addiction
14,organizational arrangements for case management in community care pilot projects
19,reliability of inspectors judgments assessing care quality in residential homes for elderly
21,using microcomputer software to manage and code qualitative research data
22,single custodial fathers overview and implications for social work practice
23,colorism and skin tone bias among Black Americans practice implications
27,community group home living experiment training adults with intellectual disability
29,controlled evaluation of intensive services helping teenage welfare mothers become self-sufficient
34,employed women education income and attitudes toward the dowry practice
36,comparing full-time and part-time employment burdens for working women across countries
38,citation analysis of competence of social work journal editorial board members
40,rapid urbanization slum growth and poverty in developing countries
41,attitude change of college students after living with intellectually disabled adults
44,comparing mental health of workers in public versus private sector industries
45,integrating cognitive therapy with Vedantic philosophy in clinical practice
48,social workers attitudes toward adoption birth mothers and open adoption
49,community participation approach to slum improvement and urban development projects
51,burnout job stress and satisfaction among intensive family preservation workers
53,coping strategies families use when a member develops mental illness
54,using the cognitive interview technique with child abuse victims
55,cultural differences in family intimacy and child sexual abuse prevention programs
68,provisions and critique of the 1988 welfare reform jobs training legislation
72,efforts to reduce homeless shelter capacity and length of stay
73,public welfare agencies increasingly serving middle-class clients
74,universal learning objectives for evaluating students micro practice field performance
75,self psychology treatment of borderline personality disorder and selfobject transference
76,self-nurturing cognitive behavioral treatment approach for borderline clients
78,comparing employment expectations for single mothers on welfare across countries
79,permanency planning reform in child welfare achievements and unintended effects
83,scholarly publication productivity of social work doctoral program graduates
84,attending to clients physical environment in assessment and practice
85,graduate programs using for-profit agencies for field placements
88,HIV prevention among Black gay men and injection drug users
89,employment role strain and life satisfaction among poor single Black mothers
91,program autonomy and visibility in undergraduate social work accreditation
92,citation analysis norms measuring scholarly reputation of social work faculty
94,guidelines for giving corrective performance feedback to employees
96,family therapy model for managing psychotic symptoms in mentally ill relatives
99,how service integration and resource levels shape case management models
101,strategic planning process for schools of social work facing resource pressures
104,burnout among hospital social workers serving AIDS patients
105,self narratives and the search for meaning in psychoanalytic practice
107,small women's social service agency organizational change and problem solving
108,teaching marriage counseling and couples practice in graduate social work programs
109,benefits agencies award to social work field instructors national survey
110,math anxiety among social work students compared to other majors
111,applying attachment theory to clinical practice with adults
112,why MSW caseworkers leave public child welfare and retention factors
113,personal value orientations of clinical social work practitioners in private practice
120,insurance reimbursement restrictions creating ethical dilemmas for clinical social workers
121,object relations family therapy as a model for social work practice
125,comparative model for teaching cross-national social welfare policy analysis
128,social work's dual role as academic discipline and profession in universities
132,review of informal caregiving within Black and minority ethnic communities
133,group context and needle sharing behavior among injecting drug users
140,assessing parenting to terminate parental rights in adoption decisions
146,quality of life comparison across residential settings for chronically mentally ill
147,evaluating quality of service and quality of life in human services
151,collaboration between general practitioners and social workers versus psychiatric nurses
155,evaluating intensive family preservation services matching services to family needs
164,economic and emotional effects of involuntary retirement caused by unemployment
165,diagnostic tool identifying sexist bias throughout the research process
166,feminist theory of writing instruction challenging male dominance in the classroom
169,family patterns and disorders among middle-class school dropout adolescents
172,evaluative model reviewing disrupted family reunification and placement reentry
173,legal responsibilities of social workers reporting child abuse and neglect
174,observing gender differences in parental proximity and childcare in rural villages
176,critique of full employment policy and alternative solutions to unemployment
177,sexist bias in population control research targeting female fertility
178,methodology and theory gaps for understanding women's issues in social science
179,detecting sexism and androcentricity in literary journals and criticism
180,gender bias and inaccuracy in head of household data collection
187,cluster analysis of household types among child and family mental health clients
191,feminist critique of gender bias in the child rights convention
196,developing a feminist psychoanalytic paradigm using mythological archetypes
200,state variation implementing federal policy to prevent child family separation
201,gender bias in judicial decisions and the legal system
202,group intervention for grieving inner-city children who lost a caregiver
203,HIV risk behavior among drug users in an urban soup kitchen
204,multicomponent school-based programs preventing HIV and STDs among teenagers
207,comparing peer and professional counseling processes for caregivers of frail elderly
212,feminist epistemology reflexivity and situated knowledge in social research
214,formal and informal support networks and mental health of Black teenage mothers
215,psychoanalytic perspective on gender differences prejudice and sexuality
220,typology of caseworker approaches and parent relationships in child welfare
221,assessing and addressing resistance in couple therapy
227,critique of rigid orthodoxy and the empathy debate within self psychology
228,why child abuse concern faded and was rediscovered in the twentieth century
229,history of psychiatric social workers establishing private psychotherapy practice
231,radical pedagogy principles for teaching social work education
234,psychological and psychosocial approaches to treating depression in older adults
236,psychoanalytic psychotherapy with adult survivors of father-daughter incest
238,anniversary reactions arising from incomplete mourning of past trauma
239,counseling issues linking maternal drug use to sudden infant death
243,role of metaphor in psychotherapy and the change process
245,qualitative interviews on paying relatives to care for frail elderly kin
246,psychoanalytic treatment of women coping with infertility and maternal identity
247,how competent practitioners know in practice substantive versus technical rationality
249,durability of 1960s court rulings ending morality and residency tests in welfare
250,citation impact of core social work journals on the profession's knowledge
252,female therapist treating male client transference dynamics around gender identity
253,review of diagnosis causes and treatment models for borderline personality disorder
254,applying attachment theory in clinical social work practice
263,social work practice with homeless families and housing services
266,burden and coping among children of mothers with schizophrenia
267,rapid growth in foster care caseloads and rise of kinship placements
268,critical review of strategies to reduce poverty and guaranteed income
291,preparing social workers for stress and hopelessness in direct practice teaching
292,improving delivery of effective mental health services to children
300,factors predicting caregiver attendance in support groups for frail elderly
308,employee assistance program effect on worker stress and productivity
317,strengths perspective alternative to pathology models for community integration of mentally ill
320,meaning of grandmotherhood among middle-class African American grandmothers
324,social workers teaching psychosocial principles to primary care medical residents
325,how corporations make funding decisions for human service agencies
328,charitable giving of money and service across religious groups in India
330,tension between scientific objective data and practitioners subjective experience
332,predictors of passing an oral licensing examination for clinical social workers
333,family policy reflections on divorce and single parent household needs
335,family placement care for adults with learning disabilities activity levels
336,developing a checklist to assess cultural competence in social service agencies
341,child labor exploitation and modes of recruitment in India
342,aging population demands on society for autonomy of older individuals
344,institutional partnership between a social work school and agency for practice research
348,school-based parenting skills program for teenage mothers evaluation
349,effect of professional intervention on parents perceptions of intellectually disabled children
351,gaps in environmental conservation laws and roles for social workers
354,improving women's status to strengthen family planning policy in Kenya
355,role of approved social workers under mental health law historical origins
358,comparing family environment in dual-career versus single-career households
360,single-case design testing respite care to reduce caregiver burden
364,profile of psychiatric patients seeking cure at temples in India
366,downward caste mobility of upper castes converting to lower caste identity
367,meditation and neuro-linguistic techniques for couples in marital conflict
368,conjoint marital therapy for parents to reduce children's misbehavior
370,developing an instrument to measure restrictiveness of children's living placements
375,interrater reliability of a rating checklist for social work process recordings
379,is practicing psychoanalysis a legitimate function of clinical social work
380,publication productivity of social work doctoral graduates and faculty mentoring
381,psychoanalytic inpatient treatment of psychotic adolescents
382,cost-benefit and work performance impact of a workplace assistance program in banking
383,model for delivering social work curriculum through distance education
384,working mothers balancing family dynamics and workplace productivity
385,institutional supports and retention of new social work field instructors
386,infant mental health as emerging practice field for social workers early intervention
387,narrative approaches to brief therapy after adverse life events strengths focus
388,psychoanalytic psychotherapy of a traumatized child and narrative development
389,epidemiology of depression prevalence and risk factors for clinicians
390,changing economic effects of teenage childbearing on women's well-being
391,adult sons revising internal images of their fathers through attachment
393,continuing education for nondegreed workers licensed under grandparenting provisions
395,ecological perspective for social work role in home care services
396,tension between ethical and clinical responses in psychodynamic practice
398,racial differences in family coping with Alzheimer's disease
399,historical evolution of psychoanalytically oriented clinical social work
401,client and practitioner reactions to ending individual therapy
402,teaching assessment skills to social work students in the classroom
403,barriers to employees using an assistance program in a government department
405,sexual needs and expression of gay men living with HIV
410,survey of specialist therapeutic foster family care programs characteristics
414,resolving treatment impasses through understanding transference and countertransference
415,graduate class on men's issues and gender dialogue in social work education
417,critique of psychoanalytic theories of female homosexuality and lesbian development
421,ethnographic study of community-oriented social services in a rural district
424,case management challenges for the profession and fragmented service systems
425,clinical assessment of client risk for violence toward others
430,identifying and responding to the impaired social work professional
431,teaching cross-cultural sensitivity using a cultural wounding metaphor
432,training field instructors to develop critical reflection skills
434,social workers overemphasis on personal versus environmental client problems
435,self psychology treatment of selfobject transferences and addiction to sensation states
436,self psychology reanalysis to overcome a stalemated psychoanalytic treatment
437,teaching interviewing skills through a research project in social work education
438,countertransference as reciprocal growth for women therapists treating women clients
441,incorporating biological knowledge into the person-in-environment perspective
444,clinical practitioners attitudes toward addressing religion and spirituality in practice
445,bioethical decision making knowledge for neonatal hospital social workers
447,review of youth gang research and social work reinvolvement
449,concepts and types of redundancy in organizational systems
450,racial segregation in a 1940s settlement house biracial recreation program
460,housing and employment needs of long-term mental health service users
466,assertiveness role clarity and job satisfaction of social workers in mental health teams
470,outpatient treatment strategies for dually diagnosed mentally ill substance abusers
473,factors predicting successful discharge from an inpatient psychiatric crisis unit
474,training program to recruit and retain minority administrators in aging services
476,computerized information systems for quality assurance in hospital social work departments
478,evaluating parent education groups effects on maternal competence and isolation
480,relationship between homebound elderly clients and their home care workers
482,occupational social worker addressing job insecurity in a declining organization
484,planning and evaluating intergroup conflict management workshops for youth
485,patterns of emergency department use by elderly patients and social supports
488,prevalence and correlates of dating violence among high school students
489,predicting which elderly patients need social work follow-up after readmission
491,therapeutic case management to improve health care access for vulnerable children
495,women's experiences coping with failed in vitro fertilization
498,assessing dementia patients' driving safety and cognitive impairment in outpatient medical social work
499,staff development model for teaching gerontological social work in acute hospital settings
502,intervention strengthening child welfare teams to reduce turnover through supervision and cohesion
503,gender differences in resettled refugees' employment distress and discrimination mixed methods
505,using situational analysis to map power in feminist participatory action research collaborations
506,school social workers' knowledge and responses to adolescent sexting qualitative study
507,model graduate course syllabus for teaching intellectual and developmental disabilities in social work
508,impact of inquiry-based learning on undergraduate students' skills through self and peer assessment
510,simulation workshop teaching cognitive behavioral therapy skills to master's social work students
511,role of volunteer guardians supporting unaccompanied migrant minors in reception systems
512,variations of role-play and simulation methods in competency-based social work education
513,social workers using stages of change model with involuntary substance use treatment clients
514,longitudinal poverty persistence and recurrence among large families with several children
515,challenges extending social protection to informal workers amid climate and pandemic risks
516,why regulators promote service user participation in social care oversight processes
517,addressing AI-generated text and plagiarism in social work teaching and publishing
519,social work students' attitudes and bias toward poverty and homelessness survey
520,job demands control and coworker support moderating depression among social workers
521,multidimensional vulnerability and social exclusion among migrant children compared to non-migrant households
522,immigrant families' inherited cultural beliefs and acculturation shaping social integration
523,how age and political ideology shape public satisfaction with social care
524,community volunteers supporting foster children living with HIV alongside social workers
525,simulating universal basic income effects on labor supply using discrete choice model
526,capabilities approach examining factors constraining and enabling social worker wellbeing
527,challenges and resilience of low-income caregivers transitioning to kinship foster care
528,social workers mobilising communities as a strategy to prevent family violence
530,classroom activities teaching critical and ethical perspectives on mandated reporting
531,city walking as pedagogy for critical feminist macro social work teaching
532,social workers' role in traditional male circumcision cultural practice ecological perspective
534,living alone increasing loneliness risk among middle-aged and older adults
535,parental alienation double standards favoring violent fathers over abused mothers in custody
536,clinicians' barriers to using trauma-informed approaches with suicidal clients
537,systematic review of knowledge attitudes practices regarding HIV pre-exposure prophylaxis
538,how parental problems and ethnicity interact in children entering out-of-home care
539,qualitative study of conditional cash transfers raising rural school attendance not achievement
540,mobile app for practicing motivational interviewing skills among child welfare workers
541,adapting doula support for perinatal individuals with substance use disorders
542,phenomenological study of disabled refugee women's wartime displacement and intersectional experiences
543,cultural competence in child protection parenting assessments with Deaf sign language parents
544,content analysis of introductory social work textbooks and their changing justice narratives
545,interview reflecting on critical theoretical perspectives across a gerontological social work career
546,cross-national comparison of service user participation in social work across five countries
547,democratic participation structures and wellbeing of young people in residential care
548,online data platform improving mental health assessment completion at a sexual assault centre
549,older people's ethical experiences using medication-dispensing robots in home care
550,evaluation of a brief virtual suicide prevention training for school staff
551,covert participant observation study of human social behavior in nightlife settings
552,workplace friendships supporting retention and wellbeing of child and family social workers
553,undergraduate reflections on anxious and angry interpersonal communication styles in helping professions
554,institutional ethnography of social care responses to extra-familial exploitation and harm
555,social work students' views on the ethics of collaborating with police
556,meaning in life and abuse among transgender women implications for social work
557,need for a strengths-based assessment tool for parents surviving intimate partner violence
558,workplace violence against social workers linked to burnout job satisfaction and anxiety
